"filename", "language", "ASP.NET Razor", "JSON", "XML", "C#", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Components\StageSelector.razor", "ASP.NET Razor", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Components\StatusPill.razor", "ASP.NET Razor", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Максим\Documents\Antro\src\Antro.Web\InMemoryUserProfileState.cs", "C#", 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\AntroHeader.razor", "ASP.NET Razor", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\AntroShell.razor", "ASP.NET Razor", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\MainLayout.razor", "ASP.NET Razor", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\MainLayout.razor.css", "PostCSS", 0, 0, 0, 0, 0, 64, 0, 0, 14, 78
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\NavMenu.razor", "ASP.NET Razor", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\NavMenu.razor.css", "PostCSS", 0, 0, 0, 0, 0, 66, 0, 2, 16, 84
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Layout\QuestionnaireLayout.razor", "ASP.NET Razor", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\BenefitDetail.razor", "ASP.NET Razor", 107, 0, 0, 0, 0, 0, 0, 0, 23, 130
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\Counter.razor", "ASP.NET Razor", 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\Dashboard.razor", "ASP.NET Razor", 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\DemoMaria.razor", "ASP.NET Razor", 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\Home.razor", "ASP.NET Razor", 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\NotFound.razor", "ASP.NET Razor", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\Questionnaire.razor", "ASP.NET Razor", 221, 0, 0, 0, 0, 0, 0, 0, 27, 248
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\StageShowcase.razor", "ASP.NET Razor", 112, 0, 0, 0, 0, 0, 0, 0, 18, 130
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Pages\Weather.razor", "ASP.NET Razor", 47, 0, 0, 0, 0, 0, 0, 0, 11, 58
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Program.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\Максим\Documents\Antro\src\Antro.Web\Properties\launchSettings.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Максим\Documents\Antro\src\Antro.Web\StageNavigation.cs", "C#", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Максим\Documents\Antro\src\Antro.Web\WebEvaluationContext.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Максим\Documents\Antro\src\Antro.Web\_Imports.razor", "ASP.NET Razor", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 1690, 0, 27, 283, 2000
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "PostCSS", 0, 0, 0, 0, 0, 3886, 0, 6, 193, 4085
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "PostCSS", 0, 0, 0, 0, 0, 3886, 0, 6, 192, 4084
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "PostCSS", 0, 0, 0, 0, 0, 518, 0, 14, 65, 597
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "PostCSS", 0, 0, 0, 0, 0, 524, 0, 6, 64, 594
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "PostCSS", 0, 0, 0, 0, 0, 4891, 0, 8, 503, 5402
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "PostCSS", 0, 0, 0, 0, 0, 4887, 0, 6, 500, 5393
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "PostCSS", 0, 0, 0, 0, 0, 11136, 0, 24, 897, 12057
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "PostCSS", 0, 0, 0, 0, 0, 5, 0, 1, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "PostCSS", 0, 0, 0, 0, 0, 11138, 0, 6, 886, 12030
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "PostCSS", 0, 0, 0, 0, 0, 5, 0, 1, 0, 6
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 5064, 0, 0, 655, 596, 6315
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 3568, 0, 0, 578, 302, 4448
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3604, 0, 0, 584, 307, 4495
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\Максим\Documents\Antro\src\Antro.Web\wwwroot\sample-data\weather.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 1384, 52, 43, 4675, 12239, 42702, 31, 1985, 5914, 69025
